customer_id,last_purchase_date,monetary,frequency,avg_transaction_value,recency,r_score,f_score,m_score,rfm_score_str,rfm_score,rfm_segment,avg_order_value,monetary_rank,frequency_rank,recency_rank,value_tier,avg_days_between_purchases,purchase_consistency,days_since_first_purchase,purchase_span_days,unique_products_bought,unique_categories_bought,preferred_category,category_concentration,product_diversity_level,transaction_value_std,min_transaction_value,max_transaction_value,total_spending,transaction_count,spending_volatility,spending_trend,trend_direction,engagement_score,loyalty_indicator,preferred_day_of_week,weekend_purchase_ratio,weekend_spending_ratio,q1.0_count,q2.0_count,q3.0_count,q4.0_count,seasonal_variation,preferred_quarter,first_purchase_date,total_transactions,customer_tenure_days,recency_days,active_period_days,purchase_velocity,lifecycle_stage,expected_days_to_purchase,days_overdue,churn_risk
4850,2024-11-01,7000000.0,2,3500000.0,60,3,2,2,322,2.25,Promising,3500000.0,23.65,27.7,52.21,Bronze,0.0,1.0,405.0,0.0,2,,,,Low,707106.7811865475,3000000.0,4000000.0,7000000.0,2,0.202,0.333,Growing,49.04,Medium,Friday,0.0,0.0,0.0,0.0,0.0,2.0,1.732,4.0,2024-11-01,2.0,405.0,405.0,0.0,0.148,Veteran,0.0,405.0,Churned
4900,2024-09-01,1370718.0,3,456906.0,121,3,2,1,321,1.85,Promising,456906.0,5.9,41.77,50.18,Bronze,,,,,2,,,,Low,167224.3093183524,360359.0,650000.0,1370718.0,3,0.366,-0.446,Declining,11.94,Medium,Sunday,0.333,0.474,0.0,0.0,1.0,0.0,1.732,3.0,2024-09-01,1.0,466.0,466.0,0.0,0.064,Veteran,365.0,101.0,Churned
5000,2024-12-01,3847000.0,1,3847000.0,30,3,1,1,311,1.5,Promising,3847000.0,16.22,9.58,53.69,Bronze,,,375.0,0.0,1,,,,Low,0.0,3847000.0,3847000.0,3847000.0,1,0.0,0.0,Stable,9.82,Low,Sunday,1.0,1.0,0.0,0.0,0.0,1.0,1.732,4.0,2024-12-01,1.0,375.0,375.0,0.0,0.08,Veteran,365.0,10.0,At Risk
5001,2025-01-02,3838072.0,10,383807.2,-2,3,4,1,341,2.55,Other,383807.2,16.09,74.32,55.41,Bronze,,0.0,,,4,,,,Medium,243171.5112758437,65000.0,972972.0,3838072.0,10,0.634,-0.334,Declining,23.3,Medium,Sunday,0.3,0.411,3.0,2.0,0.0,1.0,0.745,1.0,2024-01-03,6.0,708.0,343.0,365.0,0.254,Veteran,73.0,270.0,Churned
5050,2025-08-01,941832990.81,24,39243041.28375,-213,4,5,5,455,4.75,Champions,39243041.28,91.77,88.33,74.94,Platinum,,0.0,280.0,,19,,,,High,64592017.165967524,580000.0,294940800.0,941832990.81,24,1.646,-0.212,Declining,64.15,Medium,Friday,0.0,0.0,1.0,2.0,5.0,1.0,0.729,3.0,2024-04-12,9.0,608.0,132.0,476.0,0.444,Veteran,59.5,72.5,Churned
5150,2025-08-07,613900000.0,22,27904545.454545453,-219,4,5,5,455,4.75,Champions,27904545.45,89.31,86.98,76.72,Platinum,,,126.0,,16,,,,High,66489107.43066422,0.0,225000000.0,613900000.0,22,2.383,-0.717,Declining,62.44,Medium,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.732,3.0,2025-08-07,1.0,126.0,126.0,0.0,0.238,Established,365.0,-239.0,Active
5200,,17080000.0,2,8540000.0,719,2,2,2,222,2.0,Need Attention,8540000.0,39.8,27.7,18.12,Silver,,,,,2,,,,Low,1612203.4611053283,7400000.0,9680000.0,17080000.0,2,0.189,0.308,Growing,25.5,Medium,,,,,,,,,,,,,,,,,,,
5301,2025-09-01,1448497072.0,27,53648039.7037037,-244,4,5,5,455,4.75,Champions,53648039.7,94.47,89.86,78.87,Platinum,,1.0,,,19,,,,High,80774711.8993132,1553200.0,357440000.0,1448497072.0,27,1.506,0.841,Growing,95.23,High,Tuesday,0.0,0.0,0.0,1.0,1.0,2.0,0.707,4.0,2024-11-12,4.0,394.0,101.0,293.0,0.305,Veteran,97.66666666666667,3.3333333333333286,At Risk
5350,,46006000.0,4,11501500.0,719,2,3,3,233,2.75,Need Attention,11501500.0,55.16,50.86,18.12,Gold,,,,,3,,,,Low,11105752.668474719,2606000.0,27000000.0,46006000.0,4,0.966,1.15,Growing,36.14,Medium,,,,,,,,,,,,,,,,,,,
5450,2025-08-12,252859500.0,18,14047750.0,-224,4,5,5,455,4.75,Champions,14047750.0,81.82,84.52,78.5,Platinum,,1.0,121.0,,13,,,,High,24954796.804528363,0.0,82772500.0,252859500.0,18,1.776,-0.65,Declining,88.69,High,Tuesday,0.0,0.0,0.0,0.0,14.0,0.0,1.732,3.0,2025-08-12,14.0,121.0,121.0,0.0,3.471,Established,0.0,121.0,Churned
